id,name,industry,source,lead_status,notes,ma_status,international,locations,company_type,description,product_line,state,city,revenue,website,employees,franchise,top_franchise,demography,ticket,activities,membership,geo_focus,indoor_outdoor,col_25
31,Monkey Joe's Franchising LLC,1. Indoor Kid/Toddler Play Zone,TV,No/Passed,,No/Passed,,13,Private Company,"Monkey Joe's Franchising LLC provides children's party programs. The firm offers party packages for kids including set-up, clean-up, invitations, goodie bags, and ice cream. The company was founded in 2004 and is headquartered in Atlanta, GA.","Monkey Joe's is a kid's party and play center that offers inflatable slides, jumps, obstacle courses, and other fun activities.",Georgia,Atlanta,10.2,http://www.monkeyjoes.com,60,Yes,Profitable Venture 14/40 (2024),Kids,$5 - $65,"Birthday Parties, Kids play areas, snack shack",,,,
32,"New Horizon Enterprises, Inc.",1. Indoor Kid/Toddler Play Zone,TV,No/Passed,pass,No/Passed,,16,Private Company,"New Horizon Enterprises, Inc. provides child care services for infants and children. The firm offers garts and crafts, video games, a karaoke stage, dramatic play environments, a challenging play piece, a gym, and multi-station i-Pad tables loaded with thousands of games. The company is headquartered in Plymouth, MN.",Kids Quest is a childcare entertainment company that offers games and birthday parties.,Minnesota,Plymouth,99.446436,http://www.kidsquest.com,2300,No,NA,Mixed,Play events: $11 - $18. Birthday Parties: $150 - $210,"Video Games, Arcade Games, Tiny Tots, Kids Craft, Golf, Pool, and Boating etc.",,,,
33,"New Horizon Kids Quest, Inc.",1. Indoor Kid/Toddler Play Zone,TV,No/Passed,"No, too close to child care",No/Passed,,31,Private Company,"New Horizon Kids Quest, Inc. family of companies offer a diverse range of services in a variety of environments, include Kids Quest Hourly Child Care and Entertainment, Supervised, Cyber Quest Non-Violent Arcades for Family Entertainment, New Horizon Traditional and Employee Sponsored Care and Kinderberry Hill Child Development. New Horizon Kids Quest, Inc. develops, owns and operates supervised children's entertainment and recreational facilities under the name Kids Quest and premium traditional child care centers under the name New Horizon Child Care. The Company currently provides hourly child care at twenty locations in ten states, including three with supervised non-violent video entertainment centers.","Develops, owns and operates supervised children's entertainment & recreational facilities",Minnesota,Plymouth,46.692288,http://www.kidsquest.com,600,No,NA,Kids,Play events: $11 - $18. Birthday Parties: $150 - $210,"Video Games, Arcade Games, Tiny Tots, Kids Craft, Golf, Pool, and Boating etc.",No,Across United States,,
34,Peekaboo NYC,1. Indoor Kid/Toddler Play Zone,Caitlin 6/7/24,No/Passed,"too small, lots of ball pits",No/Passed,,1,Private Company,,,,,,,,,,,,,,,,
35,Playwell Brooklyn,1. Indoor Kid/Toddler Play Zone,Caitlin 6/7/24,No/Passed,Occupational therapists; offer programming,No/Passed,,1,Private Company,,,,,,,,,,,,,,,,
36,"The Complete Child, Inc.",1. Indoor Kid/Toddler Play Zone,TV,No/Passed,pass,No/Passed,,1,Private Company,"The Complete Child, Inc. engages in the provision of child care program services. It offers infant programs, toddler program, preschool, prekindergarten, and junior kindergarten. The company was founded by Jane Germano and Geoff Germano in 1993 and is headquartered in Springs, CO.",Provides child care program services,Colorado,Colorado Springs,2.766931,http://www.youngscholarsacademycolorado.com,23,No,NA,Kids,NA,"Infant Program, Toddler Program (Arts, Music, and more), Pre Kindergarten, and Summer Camps",,,,
37,The Play Lab NY,1. Indoor Kid/Toddler Play Zone,Caitlin 6/7/24,No/Passed,"eco friendly, offers parties",No/Passed,,1,Private Company,,,,,,,,,,,,,,,,
38,Union Square Play,1. Indoor Kid/Toddler Play Zone,Caitlin 6/7/24,No/Passed,"3 locations,mostly just classes for 5 and under",No/Passed,,1,Private Company,,,,,,,,,,,,,,,,
39,Smiley Indoor playland,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,Sale Discussions - Dead,Indy based company - 1 park - 25k SF,Revak Contact,,2,Private Company,"Located in Indianapolis, Smiley features a giant ball pit, trampolines, slides, a climbing structure, a rock wall with a foam pit, virtual reality, a LEGO room, and interactive elements on the walls and floors.","Climbing structure , trampolines , slides , rock wall , foam pit",Indiana,Indianapolis,<$5 million,https://www.smileyindianapolis.com/,<25,2,0,0,0,"Climbing structure , trampolines , slides , rock wall , foam pit",yes,Indiana,Indoor,
40,Uptown Jungle,1. Indoor Kid/Toddler Play Zone,TV,Sale Discussions - Dead,Decent,Interest - Contacted - Inactive,,10,Private Company,"Offers Indoor trampoline park and toddler play areas  including giant slides, ball shooter arenas and climbing walls",Provides indoor trampoline activities,Arizona,Mesa,14.3,https://uptownjungle.com/,201 - 500,Yes,No,Mixed,Ranges from $15 - $23,"Spider Tower, Air Floor, Toddler Area, Super Slides, Ball Blaster, Ninja Course",,,,
41,Billy Beez USA LLC,1. Indoor Kid/Toddler Play Zone,TV,Sale Discussions - Dead,Toddler 6 and under,Interest - Contacted - Pass,,16,Subsidiary,"Billy Beez USA LLC, part of Fawaz Abdulaziz AlHokair Co., is an American company located in New York, NY. The firm operates an indoor children's entertainment center.",Operates an indoor children's entertainment center,"California, New York and Massachussetts",New York,42.7,http://billybeezus.com,332,No,NA,Kids,NA,Wild Slides and Ballistics Arena,,,,
42,Kidz Klub,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,Sale Discussions - Dead,Looking at Jamaica Queens location,Interest - Discussion,,4,Private Company,Indoor playgrounds created to counter the obesity rate in America by getting children more active and fit,,Connecticut,Danbury,<$5,https://kidzklubus.com/,-,4,NA,-,$19.95 / child,"Slides, Ball Pits",,"Connecticut, New York",Indoor,
43,Kidtopia,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Indoor family playland, that provides creative learning, pizza party dinner, unlimited rock wall climbing, inflatable play, little city avenue pretend games, and more",,Alabama,Huntsville,-,https://kidtopiaplayland.com/,-,1,-,-,-,"Creative Learning, Rock Wall Climbing, Inflatable Play, Little City Avenue",,Alabama,Indoor,
44,Adventure Indoor Playground,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Adventure Indoor Playground offers a variety of play structures, slides, and climbing areas designed to keep kids active and entertained. The facility includes a dedicated toddler zone to ensure safe play for younger children. It is a popular destination for families looking for a fun and safe indoor play environment.","Play structures, slides, climbing areas, toddler zone",Nevada,Las Vegas,<$5,https://www.adventureindoorplayground.com/,<25,1,-,-,,"Play structures, slides, climbing areas, toddler zone",,Nevada,Indoor,
45,BB Kidz Club,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"We are an indoor playground and party facility dedicated on keeping things fresh and new.  During the week we offer a great place for the stay at home moms and dads to get out with their little ones and enjoy their day.  Also during the week, we keep an open flexible schedule for after school kids to come out and exercise and for school/group field trips. Burn off that excess energy with a late afternoon play date!","Party, Play area",Massachusetts,Leominster,<$5,Home - Kidz Klub,<25,1,-,-,"10 Passes $99 , 25 Passes $225, $15 per child for 2 hours","Party, Play area",,Massachusetts,Indoor,
46,Bette's Family Fun center,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,Bette’s Family Fun Center is the best place for Family Fun and Entertainment.,"VIP room , Open play , Outdoor rentals",Pennsylvania,Aston,<$5 million,https://www.bettesfuncenter.com/,0,1,0,15 months - 10 years,$11-$12 PP,"VIP rooms , Open play , rentals , birthday parties",,Pennsylvania,Indoor,
47,Bobi's world,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Bobbi’s World: Party and Play Zone is Morgantown’s first-ever indoor playground located right across from University High School at 223 Everhart Drive! We offer open play sessions for 12 and under, exclusive play sessions for children 5 and under (during limited hours), and birthday parties! We also have a full snack bar and arcade.",,West Virginia,Morgantown,0,https://www.bobbisworldwv.com/,0,1,0,5 - 12 years,$14-$24 per hour,"Climb , crawl , slide",yes,West Virginia,Indoor,
48,Boston Playground,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"We have party packages for groups of all sizes, and you only pay for the package you use on the day","Playgrounds, archery games, Gift card",Massachusetts,Chelsea,-,"Boston Playground | Boston's #1 Indoor Playground | Chelsea, MA",-,1,-,Kids above 1+,$5-$12,"Playgrounds, archery games, Gift card",,Massachusetts,-,
49,Bounce N Slide,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,Northern Utah's premier indoor inflatable playground,"Open Play , parents night out , birthday party , Gymnastics",Utah,Logan,<$5 Million,https://darkcyan-baboon-m5krgzxg6bfyxmkg.builder-preview.com/,0,1,0,1 year - 5 + years,$6-$9,"Open Play , parents night out , birthday party , Gymnastics",yes,Utah,Indoor,
50,Bounce n’ Boogie,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"We provide musical activity classes for 0-5 year olds and their caregivers. Come experience colorful mats, balls, tunnels, hoops, balance beams, bells, shakers, ribbons, scarves parachute, bubbles, and sooo much more! Interact with your little one through singing, dancing, and super fun play!","Bounce houses, interactive play areas, birthday party packages",New Mexico,Albuquerque,<$5,https://www.bouncenboogie.com/,<25,1,-,0 - 5 years,Starts from $48/ month for one class per week,"Bounce houses, interactive play areas, birthday party packages",,New Mexico,-,
51,BounceU,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,70,Private Company,"BounceU is an indoor playground featuring gigantic inflatable play structures and interactive games. The facility is designed for kids to jump, slide, and play in a safe and fun environment. It is a popular venue for birthday parties and special events, offering a unique and memorable experience for children.","Field Trip, Team parties",Nebraska,Omaha,5.2,https://www.bounceu.com/,63,,-,-,,"Field Trip, Team parties",,Nebraska,-,
52,Busy bees Kid's playhouse,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Busy Bees Kids Playhouse provides a safe indoor play space for kids to play, learn, create & interact with other children while also providing their parents space to get together with friends, work, meet other parents to grow their 'village' or just RELAX",Kid's Playhouse,Ohio,Liberty Township,<$5 million,https://www.busybeeskidsplayhouse.com/,<25,1,0,0,0,"Kid's club house, playground",,Ohio,Indoor,
53,Cartoon Headquarters Fun zone,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Cartoon Headquarters is an Indoor Inflatable Fun Zone located in Clarksburg, West Virginia. The goal is FUN and we'd love to host your next birthday party or provide inflatable rentals at the location of your choice.","Jump , Game , Party , Play",West Virginia,Clarksburg,0,https://www.cartoonheadquartersfunzone.com/,0,1,0,0,$6 - $99,"Jump , Game , Party , Play",Yes,West Virginia,Indoor,
54,Celi's Play Café,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Indoor play space that provides daily open play, birthday parties",,Alabama,Fairhope,-,https://www.celisplaycafe.com/,-,1,-,Upto 5 years,"$55 / month - Membership 1 child
$375 - $400 - Party Packages","Ball Pool, Sensory Toys",Yes,Alabama,Indoor,
55,Chatter splatter play group,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Chatter Splatter Playgroup is a community-centered indoor play space located in Eagleville, Pennsylvania. It's designed to provide a safe and fun environment for young children to play and learn. The playgroup is run by a mother and daughter team, Victoria Pettican and Nykee Lindsey, who started it to create a space where children could develop social skills and creativity",,Pennsylvania,Eagleville,<$5 million,https://chattersplatterplaygroup.com/,0,1,0,0-5 years,$15 - $750,"Open play , private parties , Semi private party",,Pennsylvania,Indoor,
56,Children's Piazza,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"The Children's Piazza is a play-cafe with a mission to promote healthy brain development in young children and support the emotional health of their caregivers, with access for all. ﻿","Birthday Parties, Play area",Massachusetts,Peabody,<$5,https://www.thechildrenspiazza.com/,<25,1,-,Kids above 1+,$8 to $ 15,"Birthday Parties, Play area",,Massachusetts,-,
57,Club house indoor playground,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"The Cubhouse Indoor Playground welcomes children 8 months to 5 years old to run and play indoors at Stevenson Center. The friendly forest-themed indoor playground provides space for kids to climb and crawl, read and draw, and sort and build.","Story time , water game , kids climb , party events",Illinois,Oakpark,<$5 million,https://pdop.org/passes/cubhouse/,<25,1,0,0,$9 - $58,"Story time , water game , kids climb , party events",,Illinois,Indoor,
58,Crayola Experience,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,5,Private Company,"Crayola Experience at Mall of America offers a colorful and interactive environment for families. With over 26 hands-on attractions, including a two-story Color Playground, it provides endless opportunities for creativity and fun. The experience is designed to inspire and engage children of all ages through various creative activities.","Interactive exhibits, creative activities, Color Playground.",Minnesota,Bloomington,<$5,"Crayola Experience Easton, PA | Crayolaexperience.com",<25,,-,-,Annual pass starts from $40,"Interactive exhibits, creative activities, Color Playground.",,Minnesota,-,
59,Delaware Children Museum,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,children's museum,,,1,Private Company,"The Delaware Children's Museum is located in Wilmington, Delaware, and is the state's only children's museum","Rotating programs ,Interactive exhibits ,community access programs",Delaware,Wilmington,<$5 million,https://delawarechildrensmuseum.org/,35,1,0,0,$2 - $12,"Rotating programs ,Interactive exhibits ,community access programs",,Delaware,Indoor,
60,Detroit Kid City,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,3,Private Company,Detroit Kid City Is Michigan's Most Exciting And Family Friendly Party Venue And Rental Hall For Birthday Parties Or Any Occasion! We Are Proud To Offer Multiple Rental Packages For A Safe Family Oriented Fun Time!,"Gift cards, Party, Open play, field trips",Michigan,Clinton Township,<$5,Detroit Kid City,<25,3,-,1-8 Years,$12 per child,"Gift cards, Party, Open play, field trips",,Michigan,-,
61,Dig Dig for kids,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,indoor sandbox - interesting?,,,1,Private Company,"Located in Fishers, this indoor sandbox offers a variety of trucks and sand toys, including large sit-on excavators that kids can operate using levers.","Indoor Sandbox , waiver , play passes , Discovery zone",Indiana,Fishers,<$5 million,https://digdigforkids.com/,<25 employees,1,0,0,$16 - $96,"Indoor Sandbox , waiver , play passes , Discovery zone",,Indiana,Indoor,
